id,title,year,budget,revenue
79698,The Lovers,2015,35000000,53899
7978,The Wolfman,2010,150000000,142634358
10588,The Cat in the Hat,2003,109000000,133818283
10214,Son of the Mask,2005,100000000,59918422
77953,The Campaign,2012,95000000,104907746
258509,Alvin and the Chipmunks: The Road Chip,2015,90000000,249517956
10357,Volcano,1997,90000000,120100000
51052,Arthur Christmas,2011,85000000,148947564
16858,All That Jazz,1979,0,37823676
146216,RED 2,2013,84000000,141507355
12096,The Pink Panther,2006,0,10878107
161795,Deja Vu,1998,0,6321997
9822,Mighty Joe Young,1998,80000000,50632037
9678,Little Nicky,2000,80000000,58270391
330770,Evolution,2015,80000000,98341932
9433,The Edge,1997,0,34099255
36970,Oceans,2009,80000000,86787530
293644,Top Cat Begins,2015,0,0
332,Inspector Gadget,1999,75000000,97387965
1439,Anna and the King,1999,75000000,39251128
25769,Carriers,2009,0,6825397
10395,Wolf,1994,70000000,131011757
11535,Rollerball,2002,70000000,25852508
11820,Mona Lisa Smile,2003,65000000,141205169
9440,Primary Colors,1998,65000000,39017984
11983,Proof of Life,2000,65000000,62761005
10783,Lucky Numbers,2000,65000000,10014234
9955,Blades of Glory,2007,61000000,145594548
11199,Wild Hogs,2007,60000000,253555383
5994,The Family Man,2000,60000000,124715863
13576,This Is It,2009,0,0
10628,Kangaroo Jack,2003,60000000,90558582
9302,Up Close & Personal,1996,60000000,100645801
10771,The Tuxedo,2002,60000000,104429625
10040,Miss Congeniality 2: Armed and Fabulous,2005,60000000,101292343
87825,Trouble with the Curve,2012,60000000,47818913
8838,Mercury Rising,1998,60000000,32983332
9513,Garfield: A Tail of Two Kitties,2006,60000000,147985373
11374,Edtv,1999,60000000,35319689
2312,In the Name of the King: A Dungeon Siege Tale,2007,60000000,13233220
9839,Beyond Borders,2003,60000000,11427090
9713,Holy Man,1998,60000000,12069719
347969,The Ridiculous 6,2015,60000000,0
10603,George of the Jungle,1997,55000000,174463257
11353,Bowfinger,1999,55000000,98699769
12117,Instinct,1999,55000000,34105207
13260,Semi-Pro,2008,55000000,43980363
19724,Imagine That,2009,55000000,22438144
2841,A Very Long Engagement,2004,55000000,69722444
39437,Beloved,1998,53000000,22852487
1950,Lucky You,2007,55000000,6521829
11817,Bulletproof Monk,2003,52000000,26922492
9969,Deck the Halls,2006,51000000,46815807
9441,Stepmom,1998,50000000,159745279
13673,Christmas with the Kranks,2004,50000000,96469187
10393,The Replacements,2000,50000000,50054511
6623,The Peacemaker,1997,50000000,62967368
10390,For Love of the Game,1999,50000000,46112640
13498,Man of the House,2005,0,40029009
9275,Death to Smoochy,2002,50000000,8374062
10416,What Planet Are You From?,2000,50000000,6291602
96724,Anna Karenina,2012,0,858553
53953,The Tooth Fairy,2006,0,0
11232,Kate & Leopold,2001,48000000,70937778
7504,Earth,1998,0,528972
593,Solaris,1972,47000000,14970038
11467,America's Sweethearts,2001,46000000,160648493
27983,"Yours, Mine and Ours",1968,0,25912624
15045,Fat Albert,2004,45000000,48563556
8987,The River Wild,1994,45000000,94215000
11359,The Indian in the Cupboard,1995,45000000,35627222
4688,Across the Universe,2007,45000000,29367143
9625,The Glimmer Man,1996,45000000,36404841
9304,Multiplicity,1996,45000000,20133326
21355,All the Pretty Horses,2000,45000000,18120267
1494,Curse of the Golden Flower,2006,0,0
9623,The Juror,1996,44000000,22730924
10468,28 Days,2000,43000000,62063972
87826,Here Comes the Boom,2012,42000000,73239258
25189,The Mirror Has Two Faces,1996,42000000,41267469
18480,Bruno,2009,42000000,138708527
280391,Why I Did (Not) Eat My Father,2015,0,0
10610,The Medallion,2003,41000000,22108977
9930,Legal Eagles,1986,40000000,49851591
71864,The Odd Life of Timothy Green,2012,40000000,55249159
9096,Medicine Man,1992,40000000,44948240
11011,Rihie Rih,1994,0,0
10641,Autumn in New York,2000,40000000,90717684
10154,Mickey Blue Eyes,1999,40000000,53864342
8457,Drillbit Taylor,2008,40000000,49686263
188161,A Million Ways to Die in the West,2014,40000000,86778557
10391,Bless the Child,2000,40000000,40435694
12184,The Other Boleyn Girl,2008,40000000,78269970
15556,At First Sight,1999,40000000,22365133
11062,City Hall,1996,40000000,20278055
6071,Kiss of Death,1995,40000000,14942422
11025,New York Minute,2004,40000000,21156715
14655,Soul Men,2008,40000000,12345883
24575,Raise the Titanic,1980,40000000,7000000
4965,Impostor,2001,40000000,7974607
56715,Just Visiting,2001,40000000,16172200
20542,Delgo,2008,40000000,915840
5353,The Hunting Party,2007,40000000,7729552
11934,The Hudsucker Proxy,1994,40000000,14938149
14392,The Warlords,2007,0,0
19495,Nomad: The Warrior,2005,0,0
77459,A Monster in Paris,2011,0,0
26486,The Last Shot,2004,40000000,463730
1257,Because I Said So,2007,39000000,69538833
9099,Sgt. Bilko,1996,39000000,37956589
257932,Dragon Nest: Warriors' Dawn,2014,0,0
10833,Heartbreakers,2001,38000000,57753825
12312,Joe Somebody,2001,38000000,24515990
13503,Texas Rangers,2001,38000000,623374
31908,Ghosts of Mississippi,1996,36000000,13052741
10219,Snow Falling on Cedars,1999,36000000,14378353
9776,Head of State,2003,35200000,38283765
45054,There Be Dragons,2011,36000000,4020990
10806,In & Out,1997,35000000,83226569
9313,The Man in the Iron Mask,1998,0,0
9957,The Benchwarmers,2006,35000000,65063726
5516,The Ladykillers,2004,35000000,77392139
11469,Black Knight,2001,35000000,33422806
2447,The Nativity Story,2006,35000000,46309644
10410,Hoffa,1992,35000000,28391473
11004,Wonder Boys,2000,35000000,33422485
118957,Bait,2012,35000000,15471969
18886,Flight of the Intruder,1991,35000000,14471440
6440,The Shipping News,2001,35000000,24405825
37498,Knock Off,1998,35000000,10319915
49478,Warriors of Virtue,1997,35000000,6448817
9702,Bound by Honor,1993,35000000,4496583
9311,Smilla's Sense of Snow,1997,35000000,2221994
26843,Lion of the Desert,1981,35000000,1500000
45958,Biutiful,2010,35000000,24687524
310706,Black Water Transit,2009,35000000,0
21311,I Dreamed of Africa,2000,34000000,14291999
77875,Playing for Keeps,2012,35000000,2000000
202575,Thunder and the House of Magic,2013,34000000,62582520
10685,The Watcher,2000,33000000,47267829
12596,Pushing Tin,1999,33000000,8408835
11888,Snow Dogs,2002,32000000,116898028
9647,Scrooged,1988,32000000,59450796
12920,Dreamer: Inspired By a True Story,2005,32000000,39498360
8649,Bringing Out the Dead,1999,32000000,16640210
3587,Bogus,1996,32000000,4357406
32274,Cradle Will Rock,1999,32000000,2899970
5494,George and the Dragon,2004,32000000,0
2054,Mr. Holland's Opus,1995,31000000,106282604
16300,Down to Earth,2001,30000000,71172251
9715,Hope Floats,1998,30000000,81529000
227783,The Nut Job,2014,30000000,122529966
21972,Like Mike,2002,30000000,62432423
37056,Letters to Juliet,2010,30000000,82148538
9918,Glory Road,2006,30000000,42799060
13156,Secondhand Lions,2003,30000000,47902566
14034,What's the Worst That Could Happen?,2001,30000000,38462071
11137,The Prince & Me,2004,30000000,30089110
239566,Get on Up,2014,30000000,33339868
53113,One True Thing,1998,30000000,26708196
4474,My Super Ex-Girlfriend,2006,30000000,60772856
184346,Deliver Us from Evil,2014,0,201275
8869,Eight Legged Freaks,2002,30000000,36722311
37707,Splice,2009,30000000,28542494
10350,Wing Commander,1999,30000000,11578022
28902,In Dreams,1999,30000000,12017369
14164,Dragonball Evolution,2009,30000000,56511457
76640,The Last Stand,2013,30000000,48330757
311,Once Upon a Time in America,1984,30000000,5575648
102362,Dead Man Down,2013,30000000,19599974
11162,The Merchant of Venice,2004,30000000,18765585
6016,The Good Thief,2003,30000000,6460758
17186,Supercross,2005,30000000,3252550
2008,The Promise,2005,90000000,10551417
31203,Little Nicholas,2009,0,0
265208,Wild Card,2015,30000000,4315789
50135,Animals United,2010,0,0
1874,Goodbye Bafana,2007,30000000,2717302
271331,United Passions,2014,30000000,168832
215211,Grace of Monaco,2014,30000000,25199891
367961,Savva. Heart of the Warrior,2015,0,0
10955,Ripley's Game,2002,30000000,1692644
9449,The Borrowers,1997,29000000,54045832
11499,Frost/Nixon,2008,0,0
12506,Cry Freedom,1987,29000000,25899797
24071,Mumford,1999,28700000,4559569
26320,Taking Woodstock,2009,29000000,10066366
10383,Lost Souls,2000,28000000,31320293
9583,Divine Secrets of the Ya-Ya Sisterhood,2002,0,0
63574,Joyful Noise,2012,27500000,31157914
12783,The Duchess,2008,27000000,45160110
5126,Martian Child,2007,27000000,9352089
31582,Flawless,1999,27000000,4485485
41488,The Statement,2003,27000000,1545064
37028,The Magic Flute,2006,27000000,0
1901,In Good Company,2004,26000000,63463195
11509,Silverado,1985,26000000,33200000
31640,Blood and Wine,1996,26000000,1083350
9092,Snow White: A Tale of Terror,1997,0,0
2779,The Curse of the Jade Scorpion,2001,26000000,18496522
316002,Accidental Love,2015,26000000,135436
11024,Scooby-Doo 2: Monsters Unleashed,2004,25000000,180856996
208763,Forbidden Kingdom,2014,0,0
254024,The Face of an Angel,2014,26000000,0
175555,A Madea Christmas,2013,0,0
11676,Nothing to Lose,1997,25000000,64594061
9416,Money Talks,1997,25000000,41076865
14317,The Wild Thornberrys Movie,2002,25000000,60694737
20694,Rugrats Go Wild,2003,25000000,55443032
10735,What a Girl Wants,2003,25000000,37216643
21724,Dance Flick,2009,25000000,32224624
10167,Half Past Dead,2002,25000000,19233280
18147,Unaccompanied Minors,2006,25000000,21970831
17170,"Bright Lights, Big City",1988,25000000,16118077
18975,The Adventures of Pinocchio,1996,25000000,36682170
11152,The Ruins,2008,25000000,22910563
12770,Stealing Harvard,2002,25000000,13973532
10074,Hot Rod,2007,25000000,14371564
11954,Lifeforce,1985,25000000,11603545
133698,Fly Me to the Moon,2012,25000000,43530281
10655,Gettysburg,1993,25000000,10731997
21338,Stone Cold,1991,25000000,9286314
19803,Underclassman,2005,25000000,5654777
20309,Say It Isn't So,2001,0,0
9912,The World's Fastest Indian,2005,25000000,18991288
27360,King's Ransom,2005,25000000,4049527
9729,Where the Truth Lies,2005,25000000,1415656
94352,Cirque du Soleil: Worlds Away,2012,25000000,28012862
49953,A Turtle's Tale: Sammy's Adventures,2010,0,0
39845,Love Ranch,2010,25000000,146149
25353,The True Story of Puss 'n Boots,2009,0,0
38543,Ironclad,2011,25000000,5297411
290864,Kung Fu Jungle,2014,0,0
242166,Red Sky,2014,25000000,91116
10480,Nurse Betty,2000,24000000,27732366
18828,Double Take,2001,24000000,29823162
3558,"Girl, Interrupted",1999,24000000,48308749
6478,Beyond the Sea,2004,24000000,8292914
45881,The Bridge of San Luis Rey,2004,24000000,1696765
12658,Someone Like You...,2001,23000000,38684906
19150,The Crew,2000,23000000,13019253
9819,Marvin's Room,1996,23000000,12803305
13579,The Longshots,2008,23000000,11778396
11156,Coco Before Chanel,2009,0,0
354110,Forsaken,2015,18000000,0
10445,Shadowlands,1993,22000000,25842377
205588,Our Kind of Traitor,2016,0,8017937
10279,Summer of Sam,1999,22000000,19288130
19366,Josie and the Pussycats,2001,22000000,14307223
1599,I Heart Huckabees,2004,22000000,20034713
30379,Megiddo: The Omega Code 2,2001,0,0
42586,Darling Lili,1970,22000000,5000000
17709,Dudley Do-Right,1999,22000000,9818792
7548,The Libertine,2004,22000000,9448623
12085,Mad Money,2008,22000000,25044057
21494,Moliere,2007,21600000,791154
17795,My Fellow Americans,1996,21500000,22331846
1073,Arlington Road,1999,21500000,24419219
9473,"South Park: Bigger, Longer & Uncut",1999,21000000,52037603
44944,For Colored Girls,2010,0,0
49517,Tinker Tailor Soldier Spy,2011,21000000,81452811
44857,Molly,1999,21000000,17396
8326,Holes,2003,20000000,71232214
35690,The Last Song,2010,20000000,92678948
103370,Madea's Witness Protection,2012,0,0
1649,Bill & Ted's Bogus Journey,1991,20000000,37540024
1710,Copycat,1995,20000000,32051917
19904,The Stepfather,2009,0,2488740
6933,One Missed Call,2008,20000000,44513466
17182,Eye for an Eye,1996,20000000,26792700
14043,Nancy Drew,2007,20000000,30703845
9588,Quigley Down Under,1990,20000000,21413105
10115,Stick It,2006,20000000,30399714
9945,Vampires,1998,20000000,20268825
13159,Georgia Rule,2007,20000000,20819601
13682,Pooh's Heffalump Movie,2005,20000000,55686944
9089,Home for the Holidays,1995,20000000,22119269
18357,The Country Bears,2002,20000000,16988996
10642,Loser,2000,20000000,18250106
10710,Envy,2004,20000000,14566246
11382,Bullets Over Broadway,1994,20000000,13383747
12797,Ghost Town,2008,20000000,29958228
18885,3 Ninjas Kick Back,1994,20000000,11744960
4953,Be Kind Rewind,2008,20000000,30894247
10773,Mrs Henderson Presents,2005,20000000,27836366
10563,Three to Tango,1999,20000000,10570375
5971,We're No Angels,1989,20000000,10555348
9716,Everyone Says I Love You,1996,20000000,34600000
26171,Everybody's Fine,2009,20000000,9208876
31117,Superbabies: Baby Geniuses 2,2004,20000000,9355369
9074,The Man,2005,20000000,10393696
24432,Doogal,2006,20000000,28058652
10929,Willard,2003,0,14545941
14220,Strange Wilderness,2008,20000000,6947084
46435,Topsy-Turvy,1999,20000000,6201757
82684,Chasing Mavericks,2012,20000000,8300821
10740,Birth,2004,20000000,14603001
14582,Passchendaele,2008,20000000,4453327
14914,Flash of Genius,2008,20000000,4504111
4960,"Synecdoche, New York",2008,20000000,4383538
14652,Bon voyage,2003,20000000,8359720
40932,Can't Stop the Music,1980,20000000,2000000
334531,My All American,2015,20000000,2246000
19457,The Yards,2000,20000000,2282710
112937,The Oogieloves in the Big Balloon Adventure,2012,20000000,1065907
8953,Steamboy,2004,20000000,10468867
29078,The Game of Their Lives,2005,20000000,375474
46503,All Good Things,2010,20000000,873617
13688,CJ7,2008,20000000,47300771
10353,The Visitors II: The Corridors of Time,1998,0,0
11458,People I Know,2002,20000000,5694213
241257,Regression,2015,20000000,15824374
14538,Three Kingdoms: Resurrection of the Dragon,2008,20000000,22139590
13250,Butterfly on a Wheel,2007,20000000,0
133931,Zambezia,2012,20000000,34454336
280871,Ramanujan,2014,0,0
239897,Dwegons,2014,0,0
184341,Hands of Stone,2016,20000000,5031975
334074,Survivor,2015,20000000,1703281
14202,The Painted Veil,2006,19400000,15118795
6968,The Baader Meinhof Complex,2008,0,0
9378,Thir13en Ghosts,2001,0,0
26367,I Can Do Bad All By Myself,2009,19000000,51733921
385383,Fight Valley,2016,20000000,0
16110,Thomas and the Magic Railroad,2000,19000000,15911332
244114,Firestorm,2013,19000000,8123860
203833,The Book Thief,2013,19000000,76086711
82631,Won't Back Down,2012,19000000,5745503
22479,Kansas City,1996,19000000,1353824
340611,Indignation,2016,0,3635525
244339,Out of Inferno,2013,0,0
9043,The Family Stone,2005,18000000,92357499
8617,Prom Night,2008,0,14796236
10934,Under the Tuscan Sun,2003,18000000,57490024
10535,Spy Hard,1996,18000000,26936265
16991,Observe and Report,2009,18000000,27148898
11904,Young Sherlock Holmes,1985,18000000,19739000
28665,Fame,2009,0,21202829
10569,Small Time Crooks,2000,18000000,29934477
11457,Life as a House,2001,18000000,23889158
19840,"I Love You, Beth Cooper",2009,18000000,16382538
22327,Youth in Revolt,2009,18000000,19685588
22102,Troop Beverly Hills,1989,18000000,7190505
18701,Being Julia,2004,18000000,14451322
36811,The Last Station,2009,18000000,15696146
27380,Megaforce,1982,18000000,5675599
10549,Hamlet,1996,18000000,7129670
10739,Anything Else,2003,18000000,13203044
37903,The White Ribbon,2009,0,0
396152,Restoration,2016,18000000,4100000
31166,I Come with the Rain,2009,18000000,627422
69848,One Man's Hero,1999,18000000,229311
332411,I Am Wrath,2016,18000000,309608
15670,Madea Goes to Jail,2009,17500000,90508336
290555,Wolves,2014,0,5361306
31932,City of Ghosts,2002,17500000,325491
1933,The Others,2001,17000000,207765056
21765,Good Boy!,2003,0,0
2752,40 Days and 40 Nights,2002,17000000,95092667
13778,Dickie Roberts: Former Child Star,2003,17000000,23734486
228203,"McFarland, USA",2015,17000000,45707924
41382,Lottery Ticket,2010,17000000,24719879
10223,A Simple Plan,1998,17000000,16316273
16028,They,2002,17000000,16140842
15639,Larry the Cable Guy: Health Inspector,2006,17000000,15680099
16112,The Adventures of Elmo in Grouchland,1999,17000000,11634458
16988,How She Move,2008,17000000,8607815
24747,Bobby Jones: Stroke of Genius,2004,17000000,2694071
58048,Shanghai Surprise,1986,17000000,2315000
10800,Dragon Hunters,2008,0,0
4032,My Girl,1991,16500000,58011485
14709,Varsity Blues,1999,16000000,54294169
10781,The Texas Chainsaw Massacre: The Beginning,2006,16000000,50517763
13908,The Master of Disguise,2002,0,0
39180,See Spot Run,2001,16000000,43057552
13491,Arn: The Knight Templar,2007,0,0
10994,White Oleander,2002,16000000,21657770
30890,Radio Days,1987,16000000,14792779
23169,Remember Me,2010,16000000,56506120
17403,How to Deal,2003,16000000,14125516
40160,Meteor,1979,16000000,8400000
18074,Duets,2000,16000000,6615452
9689,Hollywood Ending,2002,16000000,14839383
18840,The White Countess,2005,16000000,2814566
12410,Good,2008,16000000,31631
73935,Vamps,2012,16000000,94812
185567,Zulu,2013,16000000,1844228
35696,Juwanna Mann,2002,0,0
16351,Ararat,2002,15500000,1757694
38717,Madison,2001,15500000,517262
2110,Wasabi,2001,15300000,7000000
9035,Slither,2006,15250000,12930343
12154,Three Men and a Baby,1987,0,0
10765,Private Benjamin,1980,15000000,69847348
9587,Little Women,1994,15000000,50003303
15765,What's Love Got to Do with It,1993,15000000,39100956
13411,Malibu's Most Wanted,2003,15000000,34499204
9434,Grosse Pointe Blank,1997,0,0
11531,Book of Shadows: Blair Witch 2,2000,15000000,47721314
38843,Ramona and Beezus,2010,15000000,27469621
10413,Nowhere to Run,1993,15000000,52189039
9793,The Hills Have Eyes 2,2007,0,0
13768,Tuck Everlasting,2002,15000000,19344615
18681,Eye of the Beholder,1999,15000000,18260865
13166,Freddy Got Fingered,2001,15000000,14249005
15511,VeggieTales: The Pirates Who Don't Do Anything,2008,0,0
13816,Idlewild,2006,15000000,12669914
10743,Confidence,2003,15000000,12970401
37718,The Muse,1999,15000000,11614954
15237,De-Lovely,2004,15000000,18524496
9686,New York Stories,1989,15000000,10763469
17644,Barney's Great Adventure,1998,15000000,11156471
13539,Here On Earth,2000,15000000,10845127
68,Brazil,1985,15000000,9934482
9026,The Importance of Being Earnest,2002,15000000,8667209
57943,The Love Letter,1998,0,0
18276,Hoot,2006,15000000,8224998
72359,Peeples,2013,11000000,9307166
2290,Jakob the Liar,1999,15000000,4956401
10075,Blood and Chocolate,2007,15000000,6551310
38031,You Will Meet a Tall Dark Stranger,2010,15000000,38535748
112430,The Company,2007,15000000,3393606
13853,The Clan of the Cave Bear,1986,15000000,1953732
31306,Crazy in Alabama,1999,15000000,1954202
331592,Listening,2015,0,0
47692,Felicia's Journey,1999,15000000,1970268
9104,Buffalo Soldiers,2001,15000000,1768976
11190,The Return,2003,15000000,5953886
75033,Winnie Mandela,2011,0,0
74536,The Son of No One,2011,0,0
15208,Bathory: Countess of Blood,2008,0,0
262543,Automata,2014,15000000,6775458
9288,Dungeons & Dragons: Wrath of the Dragon God,2005,15000000,909822
370980,Chiamatemi Francesco - Il Papa della gente,2015,0,0
20083,Shinjuku Incident,2009,0,0
40880,Pandaemonium,2001,15000000,1438
288980,Freedom,2014,14500000,872757
9396,Crocodile Dundee II,1988,0,0
319910,Broken Horses,2015,15000000,3471
62008,Good Deeds,2012,0,0
13824,Superstar,1999,14000000,30628981
15173,Jonah: A VeggieTales Movie,2002,14000000,25608779
10008,An American Haunting,2005,0,0
2830,My Boss's Daughter,2003,14000000,15565357
14557,Dead Man on Campus,1998,14000000,15064948
10280,Thinner,1996,14000000,15171475
12637,"New York, New York",1977,14000000,13800000
34152,Crooklyn,1994,14000000,13024170
10741,Bobby,2006,14000000,20597806
28029,A Walk on the Moon,1999,14000000,4741987
1123,Catch a Fire,2006,14000000,5782198
14033,Soul Survivors,2001,14000000,4288246
16899,Easy Virtue,2008,14000000,20537741
41317,Caravans,1978,14000000,1000000
245700,Mr. Turner,2014,14000000,25187026
37842,Wild Grass,2009,0,0
9045,Amen.,2002,14000000,274299
44092,Reign of Assassins,2010,14000000,11354230
16005,The Lucky Ones,2008,14000000,266967
23988,Stan Helsing,2009,0,0
9603,Clueless,1995,13700000,57956568
25208,The Caveman's Valentine,2001,13500000,892506
10985,The New Guy,2002,13000000,28972187
9644,National Lampoon's Loaded Weapon 1,1993,0,0
15489,Snow Day,2000,13000000,62452927
15250,This Christmas,2007,13000000,49733545
38223,Harriet the Spy,1996,13000000,26570048
25462,Two Can Play That Game,2001,13000000,22391450
14577,Dirty Work,1998,13000000,10020081
19052,Light It Up,1999,13000000,5871603
9683,Bubble Boy,2001,13000000,5002310
2084,Birthday Girl,2001,13000000,8130727
13074,Resurrecting the Champ,2007,13000000,3260555
48217,The Widow of Saint-Pierre,2000,0,0
44853,The Claim,2000,13000000,1375635
407887,Operation Chromite,2016,12700000,49196532
17043,The Crocodile Hunter: Collision Course,2002,12500000,33436931
17187,The Emperor's Club,2002,12500000,16193713
59457,Womb,2010,13000000,0
37414,The Killer Inside Me,2010,13000000,5453369
6217,Cat People,1982,134000,8000000
43867,The Prisoner of Zenda,1937,12500000,7000000
39780,Oscar and Lucinda,1997,12500000,1612957
11658,Tae Guk Gi: The Brotherhood of War,2004,0,0
3179,Beavis and Butt-Head Do America,1996,12000000,63118386
10437,The Muppet Christmas Carol,1992,12000000,27972958
284296,Top Five,2014,12000000,26001741
11354,The Upside of Anger,2005,12000000,28915761
16241,The Boys from Brazil,1978,12000000,19000000
26710,My Baby's Daddy,2004,12000000,17322212
9059,Tales from the Crypt: Demon Knight,1995,12000000,21089146
28353,Def Jam's How to Be a Player,1997,12000000,14010363
38093,Just Wright,2010,12000000,21867665
14976,Rachel Getting Married,2008,12000000,17475475
11027,The Postman Always Rings Twice,1981,12000000,44200000
3635,Girl with a Pearl Earring,2003,12000000,43153588
6020,Sorority Boys,2002,12000000,12516222
122906,About Time,2013,12000000,88538742
